Question_Sample,qwen3-turbo-latest_quicktest,nova-pro_quicktest,nova-premier_quicktest,llama33-70b_quicktest,mistral-large-2407_quicktest,llama4-scout_quicktest,llama4-maverick_quicktest,qwen3-plus-latest_quicktest,qwen2.5-72b-instruct_quicktest,qwen3-4b_quicktest
q301_s1,8,2,5,5,2,8,5,5,5,8
q301_s10,2,2,5,5,3,10,7,5,2,5
q301_s11,8,2,5,5,2,8,7,5,5,1
q301_s12,8,2,5,5,2,8,5,5,5,3
q301_s13,8,2,5,5,2,9,5,5,5,8
q301_s14,8,2,5,5,2,9,7,5,5,7
q301_s15,8,2,5,5,2,10,8,5,5,6
q301_s16,2,2,5,5,2,11,5,5,2,8
q301_s17,2,2,5,7,3,7,7,5,5,8
q301_s18,2,2,5,5,2,9,7,5,2,5
q301_s19,2,2,5,5,3,9,7,5,2,7
q301_s2,2,2,5,5,7,10,6,5,2,8
q301_s20,7,2,5,5,2,7,7,5,5,7
q301_s3,2,2,5,7,2,13,7,5,5,5
q301_s4,2,2,5,5,2,9,7,5,2,7
q301_s5,2,2,5,5,2,10,5,5,2,8
q301_s6,2,2,5,7,7,8,5,5,2,7
q301_s7,2,2,7,5,9,11,7,5,5,8
q301_s8,8,2,5,5,2,8,7,5,2,7
q301_s9,2,2,5,5,2,9,7,5,2,6
q302_s1,2,2,5,5,1,7,7,6,5,8
q302_s10,2,2,5,5,2,9,7,11,5,8
q302_s11,8,2,5,5,2,8,8,6,5,11
q302_s12,2,2,5,5,3,8,7,7,5,6
q302_s13,8,2,5,5,2,7,7,5,2,1
q302_s14,2,2,5,5,7,7,7,5,2,7
q302_s15,2,2,5,5,2,8,5,5,2,7
q302_s16,2,2,5,5,20,6,7,7,5,9
q302_s17,2,2,5,7,3,9,7,7,6,5
q302_s18,2,2,5,5,1,7,7,14,2,5
q302_s19,2,2,5,5,7,6,7,6,2,6
q302_s2,2,2,5,5,2,8,7,7,2,6
q302_s20,2,5,5,8,1,6,7,6,2,8
q302_s3,2,2,5,5,2,8,7,6,2,7
q302_s4,2,7,5,5,20,7,7,7,2,7
q302_s5,2,2,5,5,9,6,7,7,5,6
q302_s6,2,2,5,5,1,6,7,7,5,8
q302_s7,2,2,5,5,2,7,7,7,2,5
q302_s8,2,2,5,5,3,12,7,7,6,6
q302_s9,2,2,7,5,1,8,7,7,2,4
q303_s1,2,4,4,6,2,4,6,5,2,6
q303_s10,2,6,4,6,2,6,6,5,2,6
q303_s11,2,4,4,6,2,5,6,12,2,6
q303_s12,2,4,4,6,6,9,7,10,2,7
q303_s13,3,4,4,6,2,5,6,5,2,7
q303_s14,2,4,4,6,2,5,6,6,2,7
q303_s15,2,4,5,6,2,4,7,8,2,7
q303_s16,2,4,4,6,2,5,6,2,2,6
q303_s17,2,0,4,6,2,6,6,5,2,3
q303_s18,2,4,4,6,2,5,6,5,2,7
q303_s19,2,4,4,6,2,4,6,5,2,4
q303_s2,2,4,4,6,2,9,6,6,2,7
q303_s20,2,4,4,6,1,11,6,2,2,4
q303_s3,2,4,4,6,2,6,6,5,2,6
q303_s4,2,4,4,6,2,9,6,5,2,5
q303_s5,2,4,4,6,2,9,7,4,2,7
q303_s6,2,4,4,6,2,9,6,5,2,6
q303_s7,2,4,4,6,2,6,6,2,2,7
q303_s8,2,4,4,6,2,5,6,5,2,4
q303_s9,2,4,4,6,2,13,6,5,2,8
q304_s1,8,2,4,6,2,6,6,5,2,5
q304_s10,6,4,4,6,2,9,6,6,2,6
q304_s11,6,0,4,6,2,9,6,5,2,7
q304_s12,6,6,4,6,20,12,6,4,2,5
q304_s13,6,4,4,6,2,6,6,6,2,10
q304_s14,6,0,4,6,2,9,6,6,2,6
q304_s15,6,4,4,4,20,9,6,6,2,4
q304_s16,6,4,4,6,2,9,6,5,3,6
q304_s17,6,6,4,6,2,6,6,2,2,5
q304_s18,6,6,4,6,2,9,6,5,2,7
q304_s19,6,0,4,6,20,9,6,7,2,7
q304_s2,6,4,4,6,20,6,6,6,2,7
q304_s20,6,6,4,6,2,11,6,2,2,5
q304_s3,6,0,4,6,20,16,6,5,2,6
q304_s4,7,4,4,6,2,16,6,8,2,6
q304_s5,6,4,4,6,2,9,6,2,2,12
q304_s6,6,4,4,6,20,6,6,5,2,6
q304_s7,7,0,4,6,20,4,6,4,2,6
q304_s8,7,6,4,4,20,10,6,6,2,5
q304_s9,6,4,4,6,2,6,6,5,2,5

Average_q301,4.35,2.0,5.1,5.3,3.0,9.15,6.4,5.0,3.5,6.45
Max_q301,8,2,7,7,9,13,8,5,5,8
Min_q301,2,2,5,5,2,7,5,5,2,1
Mode_q301,2,2,5,5,2,9,7,5,2,8
Average_q302,2.6,2.4,5.1,5.25,4.55,7.5,6.95,7.0,3.45,6.5
Max_q302,8,7,7,8,20,12,8,14,6,11
Min_q302,2,2,5,5,1,6,5,5,2,1
Mode_q302,2,2,5,5,2,7,7,7,2,6
Average_q303,2.05,3.9,4.05,6.0,2.15,6.75,6.15,5.35,2.0,6.0
Max_q303,3,6,5,6,6,13,7,12,2,8
Min_q303,2,0,4,6,1,4,6,2,2,3
Mode_q303,2,4,4,6,2,5,6,5,2,7
Average_q304,6.25,3.4,4.0,5.8,9.2,8.85,6.0,5.0,2.05,6.3
Max_q304,8,6,4,6,20,16,6,8,3,12
Min_q304,6,0,4,4,2,4,6,2,2,4
Mode_q304,6,4,4,6,2,9,6,5,2,6
